                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1703,                 2.8424,                 2.7391,                0.64065,                0.31395,                0.35164,                0.10043,                 3.0647,                 2.5737,                 2.8461,                  6e-05,                  6e-05,                  6e-05
                      2,                  3.081,                 2.9544,                 2.2834,                0.56278,                0.39341,                0.36924,                 0.0994,                 2.9681,                 1.8675,                 2.6303,             0.00013538,             0.00013538,             0.00013538
                      3,                 2.8902,                 1.6119,                 2.0576,                0.60271,                0.47629,                0.47537,                 0.1442,                 2.6835,                  1.283,                 2.1423,             0.00020548,             0.00020548,             0.00020548
                      4,                 2.5515,                 1.4961,                 1.8924,                0.64154,                0.56395,                0.53282,                0.19816,                 2.3042,                 1.1281,                  1.661,              0.0002703,              0.0002703,              0.0002703
                      5,                 2.1736,                 1.2904,                 1.4708,                 0.7122,                0.58509,                0.58418,                0.22613,                 2.1704,                 1.0783,                 1.5347,             0.00032984,             0.00032984,             0.00032984
                      6,                 2.2564,                 1.3038,                 1.4578,                0.72416,                0.61628,                0.63449,                0.25872,                 2.0511,                 1.0292,                 1.4521,              0.0003841,              0.0003841,              0.0003841
                      7,                 1.8916,                 1.1112,                 1.3448,                0.75706,                0.62016,                0.67227,                0.29684,                 1.9589,                0.96452,                 1.3844,             0.00043308,             0.00043308,             0.00043308
                      8,                 1.9789,                 1.0268,                 1.2595,                0.76798,                0.64146,                 0.7091,                0.33899,                 1.8669,                0.91694,                 1.3229,             0.00047678,             0.00047678,             0.00047678
                      9,                 1.8289,                0.99009,                 1.2889,                0.79474,                0.66782,                0.74268,                0.38239,                  1.732,                0.86779,                  1.266,              0.0005152,              0.0005152,              0.0005152
                     10,                 1.6102,                0.89936,                 1.1551,                 0.7979,                0.68098,                 0.7572,                0.40977,                 1.6396,                0.82601,                 1.2199,             0.00054834,             0.00054834,             0.00054834
                     11,                 1.6415,                0.97856,                  1.189,                0.77144,                0.68605,                0.76938,                0.43346,                 1.5668,                0.79649,                 1.1764,              0.0005762,              0.0005762,              0.0005762
                     12,                  1.602,                0.85713,                 1.1532,                0.83148,                0.70155,                0.80866,                0.47261,                  1.428,                0.74205,                 1.1131,             0.00059878,             0.00059878,             0.00059878
                     13,                 1.6203,                0.90802,                 1.1662,                 0.8196,                0.73958,                0.83528,                0.49699,                 1.3851,                0.72318,                 1.0932,             0.00061608,             0.00061608,             0.00061608
                     14,                 1.5134,                0.81991,                 1.1265,                0.80443,                0.74225,                0.84395,                0.50592,                 1.3634,                0.71799,                 1.0799,              0.0006281,              0.0006281,              0.0006281
                     15,                 1.4091,                0.78142,                 1.0724,                0.77363,                0.79479,                0.85771,                0.52099,                 1.3281,                0.71659,                 1.0568,             0.00063484,             0.00063484,             0.00063484
                     16,                 1.3252,                0.73382,                 1.1145,                0.79214,                0.79027,                0.87062,                0.53354,                 1.3093,                0.70687,                 1.0456,              0.0006363,              0.0006363,              0.0006363
                     17,                 1.4194,                0.77824,                  1.047,                0.83002,                0.76357,                0.87802,                0.53937,                 1.2828,                0.69451,                 1.0353,             0.00063248,             0.00063248,             0.00063248
                     18,                 1.2609,                0.69375,                0.98797,                0.79605,                0.80426,                0.88443,                0.54523,                 1.2404,                0.67811,                 1.0222,             0.00062338,             0.00062338,             0.00062338
                     19,                 1.4723,                0.79294,                 1.0725,                0.83272,                0.80074,                0.88707,                0.55044,                 1.2236,                0.67815,                 1.0148,               0.000609,               0.000609,               0.000609
                     20,                 1.3038,                0.75587,                  1.055,                0.84259,                 0.7884,                0.88942,                0.55787,                 1.2097,                0.67517,                 1.0083,             0.00058934,             0.00058934,             0.00058934
                     21,                 1.2233,                0.72068,                  1.037,                0.83694,                0.79578,                0.89614,                0.55546,                 1.2381,                0.67823,                 1.0177,              0.0005644,              0.0005644,              0.0005644
                     22,                 1.3815,                0.74341,                 1.1533,                0.83187,                0.81783,                0.89917,                0.56432,                 1.2158,                0.66782,                 1.0098,             0.00053418,             0.00053418,             0.00053418
                     23,                 1.5993,                0.81875,                 1.1496,                0.83618,                0.81115,                 0.9035,                0.57487,                  1.171,                  0.647,                0.99478,             0.00049868,             0.00049868,             0.00049868
                     24,                 1.4109,                0.79736,                 1.0654,                0.86747,                0.79917,                0.91114,                0.58656,                 1.1355,                 0.6268,                0.98425,              0.0004579,              0.0004579,              0.0004579
                     25,                 1.2275,                0.68063,                 1.0218,                0.86762,                0.81395,                0.91987,                0.59033,                 1.1209,                0.61479,                0.98033,             0.00041184,             0.00041184,             0.00041184
                     26,                 1.2783,                0.74108,                 1.0911,                0.85598,                0.83915,                0.92637,                0.59763,                 1.1119,                0.60833,                 0.9765,                0.00035,                0.00035,                0.00035
                     27,                 1.2733,                0.70551,                 1.0305,                0.84606,                0.87403,                0.93161,                  0.602,                  1.102,                  0.602,                0.97138,                0.00035,                0.00035,                0.00035
                     28,                 1.3418,                0.77099,                 1.0118,                0.85091,                0.87378,                0.93324,                0.60466,                 1.0978,                0.59755,                0.96979,               0.000284,               0.000284,               0.000284
                     29,                 1.2084,                0.69722,                 1.0335,                0.84727,                0.87016,                0.92782,                0.60654,                 1.0915,                0.59341,                0.96702,               0.000218,               0.000218,               0.000218
                     30,                 1.1391,                0.62427,                0.98744,                0.85436,                0.87542,                 0.9317,                0.60831,                 1.0847,                0.59028,                0.96464,               0.000152,               0.000152,               0.000152
